timestamp,frame_channels,band_no,total_channels,start_freq_MHz,end_freq_MHz,step_kHz,freq_0,freq_1,freq_2,freq_3,freq_4,freq_5,freq_6,freq_7,freq_8,freq_9,freq_10
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,0,-259,-4,-515,-3,-771,-2,-3,-514
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,2,-259,-259,-3,-3,-259,-4,-515,-259
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,1,0,4,-259,-515,-515,-259,-3,-259,-771,-515
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,0,-771,-515,-3,-514,-259,-772,-772,-2
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,2,-771,-515,-771,-3,-258,-772,-771,-3
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,1,0,4,-515,-259,-771,-3,-771,-260
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,0,-4,-515,-3,-4,-259,-514,-514,-259
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,2,-3,-771,-4,-3,-770,-514,-771,-515
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,1,0,4,-259,-259,-514,-515,-514,-3,-770,-259
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,0,-771,-2,-259,-772,-3,-771,-515,-515
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,2,-258,-770,-771,-771,-2,-770,-771
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,1,0,4,-515,-3,-771,-259,-771,-3,-3
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,0,-259,-515,-3,-2,-515
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,2,-771,-259,-515
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,1,0,4,-259,-516,-771,-259
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,0,-258,-515,-771,-771,-770
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,2,-771,-771,-3,-515,-3,-771,-515,-3
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,1,0,4,-516,-771,-515,-3
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,0,-515,-771,-514,-258,-515,-3,-771
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,2,-771,-771,-258,-771,-3,-259,-258,-771
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,1,0,4,-515,-515,-771,-2
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,0,-515,-771,-260,-515,-259,-2,-259
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,2,-772,-260,-515,-771,-515
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,1,0,4,-3,-514,-3,-516,-515,-3,-771
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,0,-259,-259,-3,-3,-3,-515,-3,-771
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,2,0,2,-3,-3,-515,-770
2026-04-12 15:00:22.980,0,0,0,0.0,0.0,0.0,1,0,4,-515,-260,-259,-259,-258,-259,-514
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-771,-3,-3,-3,-259,-771,-771,-4
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-770,-4,-258,-514,-3,-259,-3,-258
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-259,-3,-3,-4,-259
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-515,-258,-259,-3,-258,-3,-770,-515
