timestamp,event,client_ip,client_port,server_ip,server_port,duration_ms,bytes_sent,bytes_recv
2026-04-17 15:59:35.246,CONNECT,127.0.0.1,16407,100.72.95.36,1449,0,0,0
2026-04-17 15:59:35.250,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-17 15:59:37.956,CONNECT,127.0.0.1,2526,100.72.95.36,1449,0,0,0
2026-04-17 15:59:37.961,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-17 15:59:38.268,CLIENT_DISCONNECT,127.0.0.1,16407,100.72.95.36,1449,0,0,0
2026-04-17 15:59:38.315,CLOSE,127.0.0.1,16407,100.72.95.36,1449,3069,261,61
2026-04-17 15:59:40.973,CONNECT,127.0.0.1,13690,100.72.95.36,1449,0,0,0
2026-04-17 15:59:40.978,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-17 15:59:43.999,CLIENT_DISCONNECT,127.0.0.1,13690,100.72.95.36,1449,0,0,0
2026-04-17 15:59:44.029,CLOSE,127.0.0.1,13690,100.72.95.36,1449,3056,261,61
2026-04-17 15:59:49.600,CONNECT,127.0.0.1,32317,100.72.95.36,1449,0,0,0
2026-04-17 15:59:49.607,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
