timestamp,event,client_ip,client_port,server_ip,server_port,duration_ms,bytes_sent,bytes_recv
2026-04-11 13:10:23.149,CONNECT,127.0.0.1,29693,100.72.95.36,1449,0,0,0
2026-04-11 13:10:23.355,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 13:10:40.007,CLIENT_DISCONNECT,127.0.0.1,29693,100.72.95.36,1449,0,0,0
2026-04-11 13:10:40.035,CLOSE,127.0.0.1,29693,100.72.95.36,1449,16885,699,57515
2026-04-11 13:10:41.169,CONNECT,127.0.0.1,35685,100.72.95.36,1449,0,0,0
2026-04-11 13:10:41.175,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 13:10:43.055,CLIENT_DISCONNECT,127.0.0.1,35685,100.72.95.36,1449,0,0,0
2026-04-11 13:10:43.197,CLOSE,127.0.0.1,35685,100.72.95.36,1449,2027,754,61
2026-04-11 13:11:28.929,CONNECT,127.0.0.1,30876,100.72.95.36,1449,0,0,0
2026-04-11 13:11:28.935,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 13:11:31.737,CLIENT_DISCONNECT,127.0.0.1,30876,100.72.95.36,1449,0,0,0
2026-04-11 13:11:31.986,CLOSE,127.0.0.1,30876,100.72.95.36,1449,3056,699,8958
2026-04-11 13:18:45.372,CONNECT,127.0.0.1,56742,100.72.95.36,1449,0,0,0
2026-04-11 13:18:45.378,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 13:18:47.922,CLIENT_DISCONNECT,127.0.0.1,56742,100.72.95.36,1449,0,0,0
2026-04-11 13:18:48.059,CLOSE,127.0.0.1,56742,100.72.95.36,1449,2686,699,7042
2026-04-11 13:18:55.989,CONNECT,127.0.0.1,35649,100.72.95.36,1449,0,0,0
2026-04-11 13:18:55.995,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 13:19:00.300,CLIENT_DISCONNECT,127.0.0.1,35649,100.72.95.36,1449,0,0,0
2026-04-11 13:19:00.366,CLOSE,127.0.0.1,35649,100.72.95.36,1449,4377,699,14896
