timestamp,event,client_ip,client_port,server_ip,server_port,duration_ms,bytes_sent,bytes_recv
2026-04-11 14:14:59.285,CONNECT,127.0.0.1,19202,100.72.95.36,1449,0,0,0
2026-04-11 14:14:59.474,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 14:15:01.289,CLIENT_DISCONNECT,127.0.0.1,19202,100.72.95.36,1449,0,0,0
2026-04-11 14:15:01.461,CLOSE,127.0.0.1,19202,100.72.95.36,1449,2176,699,12980
2026-04-11 14:16:15.955,CONNECT,127.0.0.1,1410,100.72.95.36,1449,0,0,0
2026-04-11 14:16:15.960,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 14:16:19.630,CLIENT_DISCONNECT,127.0.0.1,1410,100.72.95.36,1449,0,0,0
2026-04-11 14:16:19.990,CLOSE,127.0.0.1,1410,100.72.95.36,1449,4035,699,51
2026-04-11 14:16:31.406,CONNECT,127.0.0.1,49389,100.72.95.36,1449,0,0,0
2026-04-11 14:16:31.416,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 14:16:36.954,CLIENT_DISCONNECT,127.0.0.1,49389,100.72.95.36,1449,0,0,0
2026-04-11 14:16:37.011,CLOSE,127.0.0.1,49389,100.72.95.36,1449,5605,699,38648
2026-04-11 14:17:02.444,CONNECT,127.0.0.1,38793,100.72.95.36,1449,0,0,0
2026-04-11 14:17:02.450,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 14:17:03.336,CLIENT_DISCONNECT,127.0.0.1,38793,100.72.95.36,1449,0,0,0
2026-04-11 14:17:03.460,CLOSE,127.0.0.1,38793,100.72.95.36,1449,1015,699,51
2026-04-11 14:23:45.928,CONNECT,127.0.0.1,48630,100.72.95.36,1449,0,0,0
2026-04-11 14:23:45.935,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 14:23:48.365,CLIENT_DISCONNECT,127.0.0.1,48630,100.72.95.36,1449,0,0,0
2026-04-11 14:23:48.454,CLOSE,127.0.0.1,48630,100.72.95.36,1449,2525,699,14896
2026-04-11 14:27:34.794,CONNECT,127.0.0.1,38445,100.72.95.36,1449,0,0,0
2026-04-11 14:27:34.806,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 14:27:36.604,CLIENT_DISCONNECT,127.0.0.1,38445,100.72.95.36,1449,0,0,0
2026-04-11 14:27:36.617,CLOSE,127.0.0.1,38445,100.72.95.36,1449,1823,699,11927
2026-04-11 14:49:50.552,CONNECT,127.0.0.1,40326,100.72.95.36,1449,0,0,0
2026-04-11 14:49:50.558,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 14:49:53.978,CLIENT_DISCONNECT,127.0.0.1,40326,100.72.95.36,1449,0,0,0
2026-04-11 14:49:54.489,CLOSE,127.0.0.1,40326,100.72.95.36,1449,3937,699,51
2026-04-11 14:49:54.809,CONNECT,127.0.0.1,8440,100.72.95.36,1449,0,0,0
2026-04-11 14:49:54.815,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 14:51:09.770,CLIENT_DISCONNECT,127.0.0.1,8440,100.72.95.36,1449,0,0,0
2026-04-11 14:51:09.781,CLOSE,127.0.0.1,8440,100.72.95.36,1449,74971,699,529586
2026-04-11 14:52:42.966,CONNECT,127.0.0.1,1438,100.72.95.36,1449,0,0,0
2026-04-11 14:52:42.972,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 14:52:44.102,CLIENT_DISCONNECT,127.0.0.1,1438,100.72.95.36,1449,0,0,0
2026-04-11 14:52:44.239,CLOSE,127.0.0.1,1438,100.72.95.36,1449,1272,699,8095
2026-04-11 14:52:54.967,CONNECT,127.0.0.1,5664,100.72.95.36,1449,0,0,0
2026-04-11 14:52:54.973,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 14:52:56.912,CLIENT_DISCONNECT,127.0.0.1,5664,100.72.95.36,1449,0,0,0
2026-04-11 14:52:57.005,CLOSE,127.0.0.1,5664,100.72.95.36,1449,2038,754,61
2026-04-11 14:53:03.450,CONNECT,127.0.0.1,21261,100.72.95.36,1449,0,0,0
2026-04-11 14:53:03.456,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 14:53:06.004,CLIENT_DISCONNECT,127.0.0.1,21261,100.72.95.36,1449,0,0,0
2026-04-11 14:53:06.051,CLOSE,127.0.0.1,21261,100.72.95.36,1449,2600,603,248
2026-04-11 14:53:10.306,CONNECT,127.0.0.1,3094,100.72.95.36,1449,0,0,0
2026-04-11 14:53:10.312,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-11 14:53:12.193,CLIENT_DISCONNECT,127.0.0.1,3094,100.72.95.36,1449,0,0,0
2026-04-11 14:53:12.333,CLOSE,127.0.0.1,3094,100.72.95.36,1449,2027,750,61
