2026-04-17 12:21:16.268,CONNECT,127.0.0.1,9761,100.72.95.36,1449,0,0,0
2026-04-17 12:21:16.273,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-17 14:28:35.876,CONNECT,127.0.0.1,10075,100.72.95.36,1449,0,0,0
2026-04-17 14:28:35.882,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-17 14:29:32.356,CLIENT_DISCONNECT,127.0.0.1,29769,100.72.95.36,1449,0,0,0
2026-04-17 14:29:32.356,CLIENT_DISCONNECT,127.0.0.1,40722,100.72.95.36,1449,0,0,0
2026-04-17 14:29:32.357,CLIENT_DISCONNECT,127.0.0.1,8650,100.72.95.36,1449,0,0,0
2026-04-17 14:29:32.357,CLIENT_DISCONNECT,127.0.0.1,48788,100.72.95.36,1449,0,0,0
2026-04-17 14:29:32.357,CLIENT_DISCONNECT,127.0.0.1,9761,100.72.95.36,1449,0,0,0
2026-04-17 14:29:32.358,CLIENT_DISCONNECT,127.0.0.1,55886,100.72.95.36,1449,0,0,0
2026-04-17 14:29:32.358,CLIENT_DISCONNECT,127.0.0.1,6609,100.72.95.36,1449,0,0,0
2026-04-17 14:29:32.358,CLIENT_DISCONNECT,127.0.0.1,10075,100.72.95.36,1449,0,0,0
2026-04-17 14:29:32.462,CLOSE,127.0.0.1,48788,100.72.95.36,1449,48706805,699,0
2026-04-17 14:29:32.462,CLOSE,127.0.0.1,8650,100.72.95.36,1449,49100446,699,0
2026-04-17 14:29:32.463,CLOSE,127.0.0.1,29769,100.72.95.36,1449,49298703,699,0
2026-04-17 14:29:32.463,CLOSE,127.0.0.1,40722,100.72.95.36,1449,48923518,699,0
2026-04-17 14:29:32.868,CLOSE,127.0.0.1,55886,100.72.95.36,1449,7869082,699,0
2026-04-17 14:29:32.868,CLOSE,127.0.0.1,10075,100.72.95.36,1449,56991,699,0
2026-04-17 14:29:32.868,CLOSE,127.0.0.1,6609,100.72.95.36,1449,8180646,699,0
2026-04-17 14:29:32.868,CLOSE,127.0.0.1,9761,100.72.95.36,1449,7696599,699,0
